Strain	Original_name	Group	Version	Status	Genome number	ShortTaxName	Locus tag	File name	Locus tag (Strain)	File name (Strain)	Locus tag (Strain no underscore)	Taxonomy_rp15	Taxonomy_GtoTree	Accession	Alternative Names	arCOG Taxonomy	CheckM Completeness v1,2,1	CheckM Contamination v1,2,1	Genome_quality	Genome_quality_score	GTDB-Tk v1.5.1 Classsification	GTDB-Tk v1.3.0 Classification		OriginLab	Date_added	Complete_genome	Notes
2R3_4	2R3_4	00_published	v01		00264	Loki	Loki_00264	Loki_00264_GCA_019058135	Loki_2R3_4	Loki_2R3_4_p	Loki__2R3_4_	Loki	Loki	GCA_019058135_1_ASM1905813v1		Lokiarchaeota	85,36	4,21	medium_quality	64,31	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__		published	2022/01/20		
33X4	33X4	00_published	v01		00265	Loki	Loki_00265	Loki_00265_GCA_019057795	Loki_33X4	Loki_33X4_p	Loki__33X4_	Loki	Loki	GCA_019057795_1_ASM1905779v1		Lokiarchaeota	94,39	4,21	high_quality	73,34	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
3H3_9	3H3_9	00_published	v01		00266	Loki	Loki_00266	Loki_00266_GCA_019057775	Loki_3H3_9	Loki_3H3_9_p	Loki__3H3_9_	Loki	Loki	GCA_019057775_1_ASM1905777v1		Lokiarchaeota	89,25	5,61	medium_quality	61,2	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
3H5_17	3H5_17	00_published	v01		00267	Loki	Loki_00267	Loki_00267_GCA_019058035	Loki_3H5_17	Loki_3H5_17_p	Loki__3H5_17_	Loki	Loki	GCA_019058035_1_ASM1905803v1		Lokiarchaeota	88,47	5,37	medium_quality	61,62	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__		published	2022/01/20		
3H5_20	3H5_20	00_published	v01		00268	Loki	Loki_00268	Loki_00268_GCA_019058055	Loki_3H5_20	Loki_3H5_20_p	Loki__3H5_20_	Loki	Loki	GCA_019058055_1_ASM1905805v1		Lokiarchaeota	87,25	4,28	medium_quality	65,85	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
SF_Bin37	4_1_July_SF_Bin37	01_unpublished_bakerlab	v01	REMOVED in v02	00465	Thor	Thor_00465	Thor_00465	Thor_SF_Bin37	Thor_SF_Bin37	Thor__SF_Bin37_	Thor	Thor			Thorarchaeota	91,88	4,21	high_quality	70,83	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__MP8T-1;s__		bakerlab	2022/01/20		
6H3_1	6H3_1	00_published	v01		00269	Loki	Loki_00269	Loki_00269_GCA_019058015	Loki_6H3_1	Loki_6H3_1_p	Loki__6H3_1_	Loki	Loki	GCA_019058015_1_ASM1905801v1		Lokiarchaeota	91,74	4,21	high_quality	70,69	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__;g__;s__		published	2022/01/20		
6H6_35	6H6_35	00_published	v01		00270	Loki	Loki_00270	Loki_00270_GCA_019057745	Loki_6H6_35	Loki_6H6_35_p	Loki__6H6_35_	Loki	Loki	GCA_019057745_1_ASM1905774v1		Lokiarchaeota	62,03	0	medium_quality	62,03	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
6H6_9	6H6_9	00_published	v01		00271	Loki	Loki_00271	Loki_00271_GCA_019057735	Loki_6H6_9	Loki_6H6_9_p	Loki__6H6_9_	Loki	Loki	GCA_019057735_1_ASM1905773v1		Lokiarchaeota	80,37	4,21	medium_quality	59,32	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
6Rcc_15	6Rcc_15	00_published	v01		00272	Loki	Loki_00272	Loki_00272_GCA_019057955	Loki_6Rcc_15	Loki_6Rcc_15_p	Loki__6Rcc_15_	Loki	Loki	GCA_019057955_1_ASM1905795v1		Lokiarchaeota	85,51	1,87	medium_quality	76,16	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__SOKP01 sp005222975	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__SOKP01 sp005222975		published	2022/01/20		
6Rcc_29	6Rcc_29	00_published	v01		00273	Loki	Loki_00273	Loki_00273_GCA_019057975	Loki_6Rcc_29	Loki_6Rcc_29_p	Loki__6Rcc_29_	Loki	Loki	GCA_019057975_1_ASM1905797v1		Lokiarchaeota	77,51	5,45	medium_quality	50,26	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
6Rcc_62	6Rcc_62	00_published	v01		00274	Loki	Loki_00274	Loki_00274_GCA_019057995	Loki_6Rcc_62	Loki_6Rcc_62_p	Loki__6Rcc_62_	Loki	Loki	GCA_019057995_1_ASM1905799v1		Lokiarchaeota	88,47	6,54	medium_quality	55,77	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
6Rcc_78	6Rcc_78	00_published	v01		00275	Loki	Loki_00275	Loki_00275_GCA_019057935	Loki_6Rcc_78	Loki_6Rcc_78_p	Loki__6Rcc_78_	Loki	Loki	GCA_019057935_1_ASM1905793v1		Lokiarchaeota	57,66	1,87	medium_quality	48,31	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__SOKP01 sp005223125	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__SOKP01 sp005223125		published	2022/01/20		
8_1_Jan_SF_Bin58	8_1_Jan_SF_Bin58	01_unpublished_bakerlab	v01	REMOVED in v02	00179	HeKa	HeKa_00179	HeKa_00179	HeKa_8_1_Jan_SF_Bin58	HeKa_8_1_Jan_SF_Bin58	HeKa__8_1_Jan_SF_Bin58_	HeKari	HeKari			Heimdallarchaeia	92,52	4,52	high_quality	69,92	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-2;f__LC-2;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-2;f__LC-2;g__;s__		bakerlab	2022/01/20		
8_1_May_SF_Bin13	8_1_May_SF_Bin13	01_unpublished_bakerlab	v01	REMOVED in v02	00180	HeKa	HeKa_00180	HeKa_00180	HeKa_8_1_May_SF_Bin13	HeKa_8_1_May_SF_Bin13	HeKa__8_1_May_SF_Bin13_	HeKari	HeKari			Heimdallarchaeia	72,74	9	medium_quality	27,74	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-2;f__LC-2;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-2;f__LC-2;g__;s__		bakerlab	2022/01/20		
81MaySF_Bin13	8_1_May_SF_Bin13_clean	01_unpublished_bakerlab	v02	ADDED in v02	00636	HeKa	HeKa_00636	HeKa_00636	HeKa_81MaySF_Bin13	HeKa_81MaySF_Bin13	HeKa__81MaySF_Bin13_						74,2	9	medium_quality	29,2				bakerlab	2022/01/20		
8H4_10	8H4_10	00_published	v01		00276	Loki	Loki_00276	Loki_00276_GCA_019057915	Loki_8H4_10	Loki_8H4_10_p	Loki__8H4_10_	Loki	Loki	GCA_019057915_1_ASM1905791v1		Lokiarchaeota	73,7	2,72	medium_quality	60,1	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
9R3_14	9R3_14	00_published	v01		00277	Loki	Loki_00277	Loki_00277_GCA_019057855	Loki_9R3_14	Loki_9R3_14_p	Loki__9R3_14_	Loki	Loki	GCA_019057855_1_ASM1905785v1		Lokiarchaeota	75,56	3,74	medium_quality	56,86	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
9R3_28	9R3_28	00_published	v01		00278	Loki	Loki_00278	Loki_00278_GCA_019057895	Loki_9R3_28	Loki_9R3_28_p	Loki__9R3_28_	Loki	Loki	GCA_019057895_1_ASM1905789v1		Lokiarchaeota	77,88	6,54	medium_quality	45,18	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
9R3_44	9R3_44	00_published	v01		00279	Loki	Loki_00279	Loki_00279_GCA_019057865	Loki_9R3_44	Loki_9R3_44_p	Loki__9R3_44_	Loki	Loki	GCA_019057865_1_ASM1905786v1		Lokiarchaeota	89,88	3,27	medium_quality	73,53	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		published	2022/01/20		
A173	A173	01_unpublished_bakerlab	v01		00163	HeNj	HeNj_00163	HeNj_00163	HeNj_A173	HeNj_A173	HeNj__A173_	HeNjord	HeNjord		Idunnarchaeote_A173	Idunnarchaeota	76,13	2,65	medium_quality	62,88	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__	d__Archaea;p__Thermoproteota;c__Korarchaeia;o__;f__;g__;s__		bakerlab	2022/01/20		
A361	A361	01_unpublished_bakerlab	v01		00466	Thor	Thor_00466	Thor_00466	Thor_A361	Thor_A361	Thor__A361_	Thor	Thor		Thorarchaeote_A361	Thorarchaeota	94,86	3,74	high_quality	76,16	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__		bakerlab	2022/01/20		
A381	A381	01_unpublished_bakerlab	v01		00467	Thor	Thor_00467	Thor_00467	Thor_A381	Thor_A381	Thor__A381_		Thor		Thorarchaeote_A381	Thorarchaeota	82,24	5,61	medium_quality	54,19	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__;s__		bakerlab	2022/01/20		
A399	A399	01_unpublished_bakerlab	v01		00468	Thor	Thor_00468	Thor_00468	Thor_A399	Thor_A399	Thor__A399_	Thor	Thor		Thorarchaeote_A399	Thorarchaeota	76,5	3,27	medium_quality	60,15	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__B65-G9;s__		bakerlab	2022/01/20		
AB_1215_Bin_10	AB_1215_Bin_10	01_unpublished_bakerlab	v01		00016	HeGe	HeGe_00016	HeGe_00016	HeGe_AB_1215_Bin_10	HeGe_AB_1215_Bin_10	HeGe__AB_1215_Bin_10_	HeGerd	HeGerd			Gerdarchaeia	84,11	7,48	medium_quality	46,71	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/01/20		
AB_1215_Bin_101	AB_1215_Bin_101	01_unpublished_bakerlab	v01		00015	HeGe	HeGe_00015	HeGe_00015	HeGe_AB_1215_Bin_101	HeGe_AB_1215_Bin_101	HeGe__AB_1215_Bin_101_	HeGerd	HeGerd			Gerdarchaeia	83,34	7,48	medium_quality	45,94	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/01/20		
AB_1215_Bin_128	AB_1215_Bin_128	01_unpublished_bakerlab	v01		00053	HeHe	HeHe_00053	HeHe_00053	HeHe_AB_1215_Bin_128	HeHe_AB_1215_Bin_128	HeHe__AB_1215_Bin_128_	HeHeimdall	HeHeimdall			Heimdallarchaeia	87,85	6,07	medium_quality	57,5	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		bakerlab	2022/01/20		
AB_1215_Bin_151	AB_1215_Bin_151	01_unpublished_bakerlab	v01		00097	HeHo	HeHo_00097	HeHo_00097	HeHo_AB_1215_Bin_151	HeHo_AB_1215_Bin_151	HeHo__AB_1215_Bin_151_		HeHod			Skadiarchaeia	60,46	7,79	medium_quality	21,51	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__B3-JM-08;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__LC-3;f__B3-JM-08;g__B3-JM-08;s__		bakerlab	2022/01/20		
AB_1215_Bin_22	AB_1215_Bin_22	01_unpublished_bakerlab	v01		00280	Loki	Loki_00280	Loki_00280	Loki_AB_1215_Bin_22	Loki_AB_1215_Bin_22	Loki__AB_1215_Bin_22_	Loki	Loki			Lokiarchaeota	51,1	3,74	medium_quality	32,4	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SDNM01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SDNM01;s__		bakerlab	2022/01/20		
AB_1215_Bin_32	AB_1215_Bin_32	01_unpublished_bakerlab	v01		00054	HeHe	HeHe_00054	HeHe_00054	HeHe_AB_1215_Bin_32	HeHe_AB_1215_Bin_32	HeHe__AB_1215_Bin_32_	HeHeimdall	HeHeimdall			Heimdallarchaeia	85,67	2,96	medium_quality	70,87	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__		bakerlab	2022/01/20		
AB_1215_Bin_94	AB_1215_Bin_94	01_unpublished_bakerlab	v01		00017	HeGe	HeGe_00017	HeGe_00017	HeGe_AB_1215_Bin_94	HeGe_AB_1215_Bin_94	HeGe__AB_1215_Bin_94_	HeGerd	HeGerd			Gerdarchaeia	69,55	2,34	medium_quality	57,85	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__JABLTI01;f__JABLTI01;g__JABLTI01;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__;f__;g__;s__		bakerlab	2022/01/20		
AB_125	AB_125	00_published	v01		00055	HeHe	HeHe_00055	HeHe_00055_GCA_001940755	HeHe_AB_125	HeHe_AB_125_p	HeHe__AB_125_	HeHeimdall	HeHeimdall	GCA_001940755_1_ASM194075v1		Heimdallarchaeia	79,37	2,34	medium_quality	67,67	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__UBA460 sp001940755	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__UBA460;s__UBA460 sp001940755		published	2022/01/20		
AB_25	AB_25	00_published	v01		00469	Thor	Thor_00469	Thor_00469_GCA_001940705	Thor_AB_25	Thor_AB_25_p	Thor__AB_25_	Thor	Thor	GCA_001940705_1_ASM194070v1		Thorarchaeota	90,12	3,19	high_quality	74,17	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp001940705	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-45;s__SMTZ1-45 sp001940705		published	2022/01/20		
AB_69_Bin_121	AB_69_Bin_121	01_unpublished_bakerlab	v01		00281	Loki	Loki_00281	Loki_00281	Loki_AB_69_Bin_121	Loki_AB_69_Bin_121	Loki__AB_69_Bin_121_		Loki			Lokiarchaeota	62,62	9,45	medium_quality	15,37	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__Prometheoarchaeum;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__;s__		bakerlab	2022/01/20		
AB_69_Bin_161	AB_69_Bin_161	01_unpublished_bakerlab	v01		00282	Loki	Loki_00282	Loki_00282	Loki_AB_69_Bin_161	Loki_AB_69_Bin_161	Loki__AB_69_Bin_161_	Loki	Loki			Lokiarchaeota	59,75	6,22	medium_quality	28,65	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		bakerlab	2022/01/20		
AB_69_Bin_233	AB_69_Bin_233	01_unpublished_bakerlab	v01		00283	Loki	Loki_00283	Loki_00283	Loki_AB_69_Bin_233	Loki_AB_69_Bin_233	Loki__AB_69_Bin_233_	Loki	Loki			Lokiarchaeota	65,04	5,61	medium_quality	36,99	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		bakerlab	2022/01/20		
AB_69_Bin_241	AB_69_Bin_241	01_unpublished_bakerlab	v01		00284	Loki	Loki_00284	Loki_00284	Loki_AB_69_Bin_241	Loki_AB_69_Bin_241	Loki__AB_69_Bin_241_	Loki	Loki			Lokiarchaeota	87,54	4,21	medium_quality	66,49	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__Prometheoarchaeum;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__AMARA-1;g__;s__		bakerlab	2022/01/20		
AB_69_Bin_244	AB_69_Bin_244	01_unpublished_bakerlab	v01		00056	HeHe	HeHe_00056	HeHe_00056	HeHe_AB_69_Bin_244	HeHe_AB_69_Bin_244	HeHe__AB_69_Bin_244_		HeHeimdall			Heimdallarchaeia	50,08	4,05	medium_quality	29,83	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__UBA460;g__;s__		bakerlab	2022/01/20		
AB_69_Bin_72	AB_69_Bin_72	01_unpublished_bakerlab	v01		00285	Loki	Loki_00285	Loki_00285	Loki_AB_69_Bin_72	Loki_AB_69_Bin_72	Loki__AB_69_Bin_72_		Loki			Lokiarchaeota	57,86	7,01	medium_quality	22,81	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		bakerlab	2022/01/20		
AB_69_Bin_81	AB_69_Bin_81	01_unpublished_bakerlab	v01		00286	Loki	Loki_00286	Loki_00286	Loki_AB_69_Bin_81	Loki_AB_69_Bin_81	Loki__AB_69_Bin_81_	Loki	Loki			Lokiarchaeota	81,31	9,19	medium_quality	35,36	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__SOKP01;s__		bakerlab	2022/01/20		
AB1215_1	AB1215_1	01_unpublished_bakerlab	v01		00623	Gefi	Gefi_00623	Gefi_00623	Gefi_AB1215_1	Gefi_AB1215_1	Gefi__AB1215_1_	Gefion	Gefion		Sif_AB1215_1.fna	Gefionarchaeota	66,03	5,61	medium_quality	37,98	d__Archaea;p__Asgardarchaeota;c__;o__;f__;g__;s__	d__Archaea;p__Thermoproteota;c__;o__;f__;g__;s__		bakerlab	2022/01/20		
